"seqnames","start","end","width","strand","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"chr7",54606500,55580500,974001,"*","01","ENSG00000200471",54621025,54621131,"+","includeFeature",-14525,14525,"NearestLocation","RNU6-1125P"
"chr8",11403500,12038000,634501,"*","02","ENSG00000199368",11392411,11392517,"-","upstream",-10983,10983,"NearestLocation","RNU6-1084P"
"chr10",71114000,72919000,1805001,"*","03","ENSG00000107731",71212570,71302864,"+","includeFeature",-98570,98570,"NearestLocation","UNC5B"
"chr10",79962500,80236000,273501,"*","04","ENSG00000273372",79968213,79973213,"+","includeFeature",-5713,5713,"NearestLocation",NA
"chr10",85882500,86853500,971001,"*","05","ENSG00000200487",86052448,86052566,"+","includeFeature",-169948,169948,"NearestLocation","RNA5SP322"
"chr10",121014500,122220000,1205501,"*","06","ENSG00000278484",120984966,120985596,"-","upstream",-28904,28904,"NearestLocation",NA
"chr11",45707000,46957500,1250501,"*","07","ENSG00000276639",45691704,45691776,"-","upstream",-15224,15224,"NearestLocation","MIR7154"
"chr11",63650500,64443500,793001,"*","08","ENSG00000256789",63637677,63658962,"+","overlapEnd",12823,8462,"NearestLocation",NA
"chr17",38947000,40760500,1813501,"*","09","ENSG00000204952",38936432,38967402,"-","overlapStart",20402,10568,"NearestLocation","FBXO47"
"chr17",41260500,42218500,958001,"*","10","ENSG00000212659",41265339,41266641,"+","includeFeature",-4839,4839,"NearestLocation","KRTAP9-6"
"chr18",48512000,49218000,706001,"*","11","ENSG00000134030",48539046,48863217,"+","includeFeature",-27046,27046,"NearestLocation","CTIF"
"chr18",49424000,50243500,819501,"*","12","ENSG00000263895",49431744,49447420,"-","includeFeature",23420,7744,"NearestLocation",NA
"chr19",29465000,29898000,433001,"*","13","ENSG00000267574",29448038,29448380,"+","downstream",16962,16620,"NearestLocation",NA
"chr19",32852000,34009500,1157501,"*","14","ENSG00000201967",32862800,32863092,"-","includeFeature",11092,10800,"NearestLocation","RN7SKP22"
"chr20",49071500,51069500,1998001,"*","15","ENSG00000124207",49046246,49096960,"+","overlapEnd",25254,25254,"NearestLocation","CSE1L"
