"seqnames","start","end","width","strand","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"chr10",71114000,71114500,501,"*","640141","ENSG00000107731",71212570,71302864,"+","upstream",-98570,98070,"NearestLocation","UNC5B"
"chr10",71114500,71115000,501,"*","640142","ENSG00000107731",71212570,71302864,"+","upstream",-98070,97570,"NearestLocation","UNC5B"
"chr10",71115000,71115500,501,"*","640143","ENSG00000107731",71212570,71302864,"+","upstream",-97570,97070,"NearestLocation","UNC5B"
"chr10",71115500,71116000,501,"*","640144","ENSG00000107731",71212570,71302864,"+","upstream",-97070,96570,"NearestLocation","UNC5B"
"chr10",71116000,71116500,501,"*","640145","ENSG00000107731",71212570,71302864,"+","upstream",-96570,96070,"NearestLocation","UNC5B"
"chr10",71116500,71117000,501,"*","640146","ENSG00000107731",71212570,71302864,"+","upstream",-96070,95570,"NearestLocation","UNC5B"
"chr10",71117000,71117500,501,"*","640147","ENSG00000107731",71212570,71302864,"+","upstream",-95570,95070,"NearestLocation","UNC5B"
"chr10",71117500,71118000,501,"*","640148","ENSG00000107731",71212570,71302864,"+","upstream",-95070,94570,"NearestLocation","UNC5B"
"chr10",71118000,71118500,501,"*","640149","ENSG00000107731",71212570,71302864,"+","upstream",-94570,94070,"NearestLocation","UNC5B"
"chr10",71118500,71119000,501,"*","640150","ENSG00000107731",71212570,71302864,"+","upstream",-94070,93570,"NearestLocation","UNC5B"
"chr10",71119000,71119500,501,"*","640151","ENSG00000107731",71212570,71302864,"+","upstream",-93570,93070,"NearestLocation","UNC5B"
"chr10",71119500,71120000,501,"*","640152","ENSG00000107731",71212570,71302864,"+","upstream",-93070,92570,"NearestLocation","UNC5B"
"chr10",71120000,71120500,501,"*","640153","ENSG00000107731",71212570,71302864,"+","upstream",-92570,92070,"NearestLocation","UNC5B"
"chr10",71120500,71121000,501,"*","640154","ENSG00000107731",71212570,71302864,"+","upstream",-92070,91570,"NearestLocation","UNC5B"
"chr10",71121000,71121500,501,"*","640155","ENSG00000107731",71212570,71302864,"+","upstream",-91570,91070,"NearestLocation","UNC5B"
"chr10",71121500,71122000,501,"*","640156","ENSG00000107731",71212570,71302864,"+","upstream",-91070,90570,"NearestLocation","UNC5B"
"chr10",71122000,71122500,501,"*","640157","ENSG00000107731",71212570,71302864,"+","upstream",-90570,90070,"NearestLocation","UNC5B"
"chr10",71122500,71123000,501,"*","640158","ENSG00000107731",71212570,71302864,"+","upstream",-90070,89570,"NearestLocation","UNC5B"
"chr10",71123000,71123500,501,"*","640159","ENSG00000107731",71212570,71302864,"+","upstream",-89570,89070,"NearestLocation","UNC5B"
"chr10",71123500,71124000,501,"*","640160","ENSG00000107731",71212570,71302864,"+","upstream",-89070,88570,"NearestLocation","UNC5B"
"chr10",71124000,71124500,501,"*","640161","ENSG00000107731",71212570,71302864,"+","upstream",-88570,88070,"NearestLocation","UNC5B"
"chr10",71124500,71125000,501,"*","640162","ENSG00000107731",71212570,71302864,"+","upstream",-88070,87570,"NearestLocation","UNC5B"
"chr10",71125000,71125500,501,"*","640163","ENSG00000107731",71212570,71302864,"+","upstream",-87570,87070,"NearestLocation","UNC5B"
"chr10",71125500,71126000,501,"*","640164","ENSG00000107731",71212570,71302864,"+","upstream",-87070,86570,"NearestLocation","UNC5B"
"chr10",71126000,71126500,501,"*","640165","ENSG00000107731",71212570,71302864,"+","upstream",-86570,86070,"NearestLocation","UNC5B"
"chr10",71126500,71127000,501,"*","640166","ENSG00000107731",71212570,71302864,"+","upstream",-86070,85570,"NearestLocation","UNC5B"
"chr10",71127000,71127500,501,"*","640167","ENSG00000107731",71212570,71302864,"+","upstream",-85570,85070,"NearestLocation","UNC5B"
"chr10",71127500,71128000,501,"*","640168","ENSG00000107731",71212570,71302864,"+","upstream",-85070,84570,"NearestLocation","UNC5B"
"chr10",71128000,71128500,501,"*","640169","ENSG00000107731",71212570,71302864,"+","upstream",-84570,84070,"NearestLocation","UNC5B"
"chr10",71128500,71129000,501,"*","640170","ENSG00000107731",71212570,71302864,"+","upstream",-84070,83570,"NearestLocation","UNC5B"
"chr10",71129000,71129500,501,"*","640171","ENSG00000107731",71212570,71302864,"+","upstream",-83570,83070,"NearestLocation","UNC5B"
"chr10",71129500,71130000,501,"*","640172","ENSG00000107731",71212570,71302864,"+","upstream",-83070,82570,"NearestLocation","UNC5B"
"chr10",71130000,71130500,501,"*","640173","ENSG00000107731",71212570,71302864,"+","upstream",-82570,82070,"NearestLocation","UNC5B"
"chr10",71130500,71131000,501,"*","640174","ENSG00000107731",71212570,71302864,"+","upstream",-82070,81570,"NearestLocation","UNC5B"
"chr10",71131000,71131500,501,"*","640175","ENSG00000107731",71212570,71302864,"+","upstream",-81570,81070,"NearestLocation","UNC5B"
"chr10",71131500,71132000,501,"*","640176","ENSG00000107731",71212570,71302864,"+","upstream",-81070,80570,"NearestLocation","UNC5B"
"chr10",71132000,71132500,501,"*","640177","ENSG00000107731",71212570,71302864,"+","upstream",-80570,80070,"NearestLocation","UNC5B"
"chr10",71132500,71133000,501,"*","640178","ENSG00000107731",71212570,71302864,"+","upstream",-80070,79570,"NearestLocation","UNC5B"
"chr10",71133000,71133500,501,"*","640179","ENSG00000107731",71212570,71302864,"+","upstream",-79570,79070,"NearestLocation","UNC5B"
"chr10",71133500,71134000,501,"*","640180","ENSG00000107731",71212570,71302864,"+","upstream",-79070,78570,"NearestLocation","UNC5B"
"chr10",71134000,71134500,501,"*","640181","ENSG00000107731",71212570,71302864,"+","upstream",-78570,78070,"NearestLocation","UNC5B"
"chr10",71134500,71135000,501,"*","640182","ENSG00000107731",71212570,71302864,"+","upstream",-78070,77570,"NearestLocation","UNC5B"
"chr10",71135000,71135500,501,"*","640183","ENSG00000107731",71212570,71302864,"+","upstream",-77570,77070,"NearestLocation","UNC5B"
"chr10",71135500,71136000,501,"*","640184","ENSG00000107731",71212570,71302864,"+","upstream",-77070,76570,"NearestLocation","UNC5B"
"chr10",71136000,71136500,501,"*","640185","ENSG00000107731",71212570,71302864,"+","upstream",-76570,76070,"NearestLocation","UNC5B"
"chr10",71136500,71137000,501,"*","640186","ENSG00000107731",71212570,71302864,"+","upstream",-76070,75570,"NearestLocation","UNC5B"
"chr10",71137000,71137500,501,"*","640187","ENSG00000107731",71212570,71302864,"+","upstream",-75570,75070,"NearestLocation","UNC5B"
